strDrink,strCategory,strGlass,strIngredients,Basic_taste,strInstructions
A True Amaretto Sour,Cocktail,Old-fashioned glass,"['Lemon', 'Maraschino Cherry']",sweet,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A midsummernight dream,Ordinary Drink,Collins Glass,"['Strawberries', 'Schweppes Russchian']",bitter,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
A. J.,Ordinary Drink,Cocktail glass,['Grapefruit Juice'],bitter,"Shake ingredients with ice, strain into a cocktail glass, and serve."
A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,['Hot Chocolate'],cream,shake vigorously
A1,Cocktail,Cocktail glass,"['Grenadine', 'Lemon Juice']",sour,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
AT&T,Ordinary Drink,Highball Glass,['Tonic Water'],water,"Pour Vodka and Gin over ice, add Tonic and Stir"
Abbey Cocktail,Ordinary Drink,Cocktail glass,"['Orange', 'Cherry']",sweet,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abbey Martini,Cocktail,Cocktail glass,['Orange Juice'],sweet,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Abilene,Ordinary Drink,Highball glass,"['Peach Nectar', 'Orange Juice']",sweet,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Absolut Sex,Shot,Old-fashioned glass,"['Sprite', 'Cranberry Juice']",sour,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
Absolut Stress #2,Ordinary Drink,Collins Glass,"['Pineapple Juice', 'Cranberry Juice']",sour,Mix well. Garnish with Orange and Cherry. Enjoy
Absolut Summertime,Cocktail,Collins glass,"['Sprite', 'Lemon', 'Sweet And Sour', 'Soda Water']",sweet,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolut limousine,Other/Unknown,Collins Glass,"['Lime Juice', 'Tonic Water']",water,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
Absolutely Cranberry Smash,Ordinary Drink,Cocktail glass,"['Ginger Ale', 'Cranberry Juice']",sour,Stir ingredients together. Serve over ice.
Absolutely Fabulous,Cocktail,Champagne flute,['Cranberry Juice'],sour,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,Cocktail,Collins glass,"['Ginger Ale', 'Orange Juice']",sweet,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Acapulco,Ordinary Drink,Old-fashioned glass,"['Mint', 'Egg White', 'Lime Juice', 'Sugar']",sweet,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Ace,Cocktail,Martini Glass,"['Milk', 'Grenadine', 'Egg White', 'Heavy Cream']",cream,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,Ordinary Drink,Cocktail glass,"['Lemon Juice', 'Grenadine']",sweet,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Adam & Eve,Cocktail,Cocktail glass,['Fresh Lemon Juice'],sour,Shake together all the ingredients and strain into a cold glass.
Adam Bomb,Punch / Party Drink,Margarita/Coupette glass,"['Salt', 'Fruit Juice']",sweet,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
Adam Sunrise,Ordinary Drink,Collins Glass,"['Water', 'Sugar', 'Lemonade']",sour,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
Addington,Cocktail,Cocktail glass,['Soda Water'],sweet,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison Special,Cocktail,Old-fashioned glass,"['Grenadine', 'Orange Juice']",sweet,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,Cocktail,Martini Glass,"['Fresh Lime Juice', 'Sugar Syrup', 'Water']",water,Shake together all the ingredients and strain into a cold glass.
Affair,Ordinary Drink,Highball glass,"['Orange Juice', 'Cranberry Juice', 'Club Soda']",sweet,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
After Dinner Cocktail,Ordinary Drink,Cocktail glass,"['Lime', 'Lime']",sour,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Supper Cocktail,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
After sex,Ordinary Drink,Highball glass,['Orange Juice'],sweet,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
Afternoon,Coffee / Tea,Collins Glass,"['Cream', 'Coffee Hot']",bitter,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
Alabama Slammer,Ordinary Drink,Highball glass,['Lemon Juice'],sour,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
Alaska Cocktail,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
Alexander,Ordinary Drink,Cocktail glass,"['Nutmeg', 'Light Cream']",cream,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alfie Cocktail,Ordinary Drink,Cocktail glass,['Pineapple Juice'],sweet,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
Algonquin,Ordinary Drink,Cocktail glass,['Pineapple Juice'],sweet,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Allegheny,Ordinary Drink,Cocktail glass,"['Lemon Peel', 'Lemon Juice']",sour,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Allies Cocktail,Ordinary Drink,Cocktail glass,['Kummel'],spicy,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Almeria,Ordinary Drink,Cocktail glass,['Egg White'],egg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Almond Chocolate Coffee,Ordinary Drink,Coffee mug,['Coffee'],bitter,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
Almond Joy,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Amaretto And Cream,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake well with cracked ice, strain contents into a cocktail glass, and serve."
Amaretto Mist,Ordinary Drink,Old-fashioned glass,['Lime'],sour,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
Amaretto Rose,Ordinary Drink,Collins glass,"['Lime Juice', 'Club Soda']",sweet,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
Amaretto Shake,Ordinary Drink,Collins Glass,['Chocolate Ice-Cream'],cream,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
Amaretto Sour,Ordinary Drink,Collins Glass,['Sour Mix'],sour,Shake and strain. Garnish with a cherry and an orange slice.
Amaretto Stone Sour,Other/Unknown,Collins Glass,"['Orange Juice', 'Sour Mix']",sour,Shake and Serve over ice
Amaretto Stone Sour #3,Other/Unknown,Highball glass,"['Orange Juice', 'Sour Mix']",sour,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
Amaretto Sunrise,Ordinary Drink,Collins Glass,"['Grenadine', 'Orange Juice']",sweet,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
Amaretto Sweet & Sour,Punch / Party Drink,Margarita/Coupette glass,"['Pineapple Juice', 'Sweet And Sour']",sweet,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."
Amaretto Tea,Ordinary Drink,Pousse cafe glass,"['Whipped Cream', 'Tea Hot']",bitter,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
Americano,Ordinary Drink,Collins glass,"['Lemon Peel', 'Orange Peel']",sweet,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
Apple Cider Punch #1,Punch / Party Drink,Collins Glass,"['Allspice', 'Orange Juice Frozen', 'Cinnamon', 'Lemonade Frozen', 'Cloves', 'Nutmeg Ground', 'Brown Sugar']",sweet,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice."
Apple Pie with A Crust,Other/Unknown,Collins Glass,"['Cinnamon', 'Apple Juice']",sweet,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.
Apple Slammer,Shot,Shot glass,['7-Up'],sweet,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly."
Applecar,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Applejack,Cocktail,Cocktail glass,['Sour Mix'],sour,"Add all ingredients into mixing glass, chill and strain into cocktail glass"
Apricot Lady,Ordinary Drink,Old-fashioned glass,"['Orange', 'Lemon Juice', 'Egg White']",egg,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."
Apricot punch,Punch / Party Drink,Punch bowl,"['Orange Juice', '7-Up']",sweet,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.
Archbishop,Ordinary Drink,Old-fashioned glass,['Lime'],sour,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Arctic Fish,Punch / Party Drink,Beer pilsner,"['Orange Juice', 'Candy', 'Grape Soda']",sweet,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled."
Arctic Mouthwash,Punch / Party Drink,Cocktail glass,['Mountain Dew'],sweet,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.
Arizona Antifreeze,Shot,Shot glass,['Sweet And Sour'],sweet,Pour all ingredients into shot glass and slam !!!!
Arizona Stingers,Cocktail,Hurricane glass,['Iced Tea Lemon'],sour,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,Cocktail,Hurricane glass,"['Pineapple', 'Orange Juice', 'Cream Of Coconut', 'Grenadine', 'Pineapple Juice']",sweet,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,Cocktail,Cocktail glass,['Lime Juice Cordial'],sour,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Arthur Tompkins,Ordinary Drink,Whiskey sour glass,"['Lemon Juice', 'Lemon Peel']",sour,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."
Artillery Punch,Punch / Party Drink,Punch bowl,"['Lemon Juice', 'Orange Juice', 'Tea']",bitter,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel."
Atlantic Sun,Ordinary Drink,Collins Glass,"['Club Soda', 'Passion Fruit Syrup', 'Sweet And Sour']",sweet,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange."
Atomic Lokade,Ordinary Drink,Collins Glass,"['Lemonade', 'Sugar']",sweet,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste"
Autodafé,Ordinary Drink,Highball glass,"['Lime Juice', 'Soda Water']",sweet,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
Avalanche,Milk / Float / Shake,Highball glass,['Cream'],cream,"Mix in highball glass over ice, shake well."
Avalon,Ordinary Drink,Highball glass,"['Apple Juice', 'Lemon Juice', 'Lemonade']",sour,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
Aviation,Cocktail,Cocktail glass,['Lemon Juice'],sour,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Aztec Punch,Punch / Party Drink,Punch bowl,"['Lemonade', 'Ginger Ale']",sweet,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it."
Baby Eskimo,Milk / Float / Shake,Collins Glass,"['Vanilla Ice-Cream', 'Milk']",cream,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
Bacardi Cocktail,Ordinary Drink,Cocktail glass,"['Lime Juice', 'Sugar Syrup', 'Grenadine']",sweet,Shake together with ice. Strain into glass and serve.
Bailey's Dream Shake,Soft Drink / Soda,Collins glass,"['Vanilla Ice-Cream', 'Cream']",cream,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !
Banana Daiquiri,Ordinary Drink,Champagne flute,"['Lime Juice', 'Banana', 'Sugar', 'Cherry']",sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Barracuda,Ordinary Drink,Margarita glass,"['Pineapple Juice', 'Lime Juice']",sour,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
Belgian Blue,Soft Drink / Soda,Highball glass,['Sprite'],sweet,Just pour all ingredients in the glass and stir...
Bellini Martini,Ordinary Drink,Cocktail glass,"['Lemon Peel', 'Peach Nectar']",sweet,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel."
Bermuda Highball,Ordinary Drink,Highball glass,"['Lemon Peel', 'Carbonated Water']",water,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
Berry Deadly,Punch / Party Drink,Collins Glass,"['Orange Juice', 'Kool-Aid Tropical Berry']",sweet,Add all ingredients to large bowl. Stir gently. Serve chilled.
Between The Sheets,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
Bible Belt,Other/Unknown,Highball glass,"['Sour Mix', 'Lime']",sour,"Mix all ingredients, and pour over ice."
Black Forest Shake,Milk / Float / Shake,Collins Glass,"['Milk', 'Chocolate Syrup']",sweet,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."
Black Russian,Ordinary Drink,Old-fashioned glass,['Coffee Liqueur'],bitter,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.
Black and Brown,Beer,Beer pilsner,['Root Beer'],sweet,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.
Blackthorn,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Bleeding Surgeon,Soft Drink / Soda,Collins glass,"['Orange', 'Surge', 'Cranberry Juice']",sour,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass."
Blind Russian,Milk / Float / Shake,Collins glass,['Milk'],cream,Fill glass with ice. Add all liquers. Add milk. shake.
Bloody Maria,Ordinary Drink,Old-fashioned glass,"['Lemon Juice', 'Celery Salt', 'Tomato Juice', 'Tabasco Sauce', 'Lemon']",sour,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.
Bloody Mary,Ordinary Drink,Old-fashioned glass,"['Lemon Juice', 'Tomato Juice', 'Tabasco Sauce', 'Worcestershire Sauce', 'Lime']",sour,"Stirring gently, pour all ingredients into highball glass. Garnish."
Blue Lagoon,Ordinary Drink,Highball glass,"['Lemonade', 'Cherry']",sweet,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve."
Blue Margarita,Ordinary Drink,Cocktail glass,"['Lime Juice', 'Salt']",salty,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve."
Blue Mountain,Ordinary Drink,Old-fashioned glass,"['Orange Juice', 'Lemon Juice']",sour,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes."
Bluebird,Ordinary Drink,Cocktail glass,"['Maraschino Cherry', 'Lemon Peel']",sour,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
Bobby Burns Cocktail,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Boomerang,Ordinary Drink,Cocktail glass,['Maraschino Cherry'],sweet,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
Boozy Snickers Milkshake,Milk / Float / Shake,Mason jar,"['Caramel Sauce', 'Mini-Snickers Bars', 'Vanilla Ice-Cream', 'Milk', 'Chocolate Sauce', 'Whipped Cream']",cream,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream."
Boston Sidecar,Ordinary Drink,Cocktail glass,['Lime'],sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Boston Sour,Ordinary Drink,Whiskey sour glass,"['Egg White', 'Powdered Sugar', 'Lemon', 'Lemon', 'Cherry']",sweet,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
Bourbon Sling,Ordinary Drink,Highball glass,"['Lemon Juice', 'Water', 'Sugar Superfine', 'Lemon Peel']",sour,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist."
Bourbon Sour,Ordinary Drink,Whiskey sour glass,"['Sugar Superfine', 'Maraschino Cherry', 'Lemon Juice', 'Orange']",sweet,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry."
Boxcar,Ordinary Drink,Whiskey sour glass,"['Lemon Juice', 'Grenadine', 'Egg White']",egg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Brain Fart,Punch / Party Drink,Punch bowl,"['Mountain Dew', 'Lemon Juice', 'Surge']",sweet,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
Brainteaser,Shot,Shot Glass,['Erin Cream'],cream,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw."
Bramble,Ordinary Drink,Old-Fashioned glass,"['Lemon Juice', 'Sugar Syrup']",sweet,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
Brandon and Will's Coke Float,Soft Drink / Soda,Beer mug,"['Vanilla Ice-Cream', 'Coca-Cola']",sweet,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy."
Brandy Alexander,Ordinary Drink,Cocktail glass,"['Light Cream', 'Nutmeg']",spicy,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Brandy Cobbler,Ordinary Drink,Old-fashioned glass,"['Sugar Superfine', 'Club Soda', 'Lemon', 'Orange', 'Maraschino Cherry']",sweet,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices."
Brandy Flip,Ordinary Drink,Whiskey sour glass,"['Egg', 'Sugar Superfine', 'Light Cream', 'Nutmeg Grated']",spicy,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg."
Brandy Sour,Ordinary Drink,Whiskey sour glass,"['Lemon', 'Powdered Sugar', 'Cherry', 'Lemon']",sour,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve."
Brave Bull Shooter,Shot,Shot glass,['Tabasco Sauce'],spicy,Pour Tabasco into bottom of shot glass and fill with tequila.
Bruce's Puce,Shot,Shot glass,['Grenadine'],sweet,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)"
Bruised Heart,Shot,Shot glass,['Cranberry Juice'],sour,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass"
Bubble Gum,Shot,Shot glass,['Orange Juice'],sweet,Layer in order into a shot glass.
Butter Baby,Milk / Float / Shake,Beer mug,"['Milk', 'Vanilla Ice-Cream']",cream,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.
Cafe Savoy,Coffee / Tea,Coffee mug,"['Coffee', 'Milk']",cream,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
Caipirinha,Ordinary Drink,Old-fashioned glass,"['Sugar', 'Lime']",sour,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
Caipirissima,Ordinary Drink,Collins Glass,"['Lime', 'Sugar']",sweet,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!
California Lemonade,Ordinary Drink,Collins glass,"['Grenadine', 'Carbonated Water', 'Powdered Sugar', 'Lemon', 'Lime']",sour,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.
California Root Beer,Soft Drink / Soda,Highball glass,['Soda Water'],sweet,Put Kahlua and Galliano in highball glass fill with soda
Casino,Ordinary Drink,Cocktail glass,"['Cherry', 'Lemon Juice']",sour,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
Casino Royale,Ordinary Drink,Whiskey sour glass,"['Lemon Juice', 'Egg Yolk']",egg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Champagne Cocktail,Ordinary Drink,Champagne flute,"['Lemon Peel', 'Sugar']",sweet,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.
Cherry Electric Lemonade,Cocktail,Pint glass,"['Sweet And Sour', 'Club Soda', 'Cherry Grenadine']",sweet,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
Cherry Rum,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Chicago Fizz,Ordinary Drink,Highball glass,"['Lemon', 'Egg White', 'Carbonated Water', 'Powdered Sugar']",sweet,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Chocolate Black Russian,Ordinary Drink,Champagne flute,['Chocolate Ice-Cream'],cream,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.
Chocolate Milk,Shot,Shot Glass,['Milk'],cream,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!"
